infos_iphone,price_iphone
Apple IPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go Rom - 12 Mpx - Blanc - Reconditionné,169 900 FCFA
"Apple iPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Gold",139 500 FCFA
Apple IPhone 13 Pro - 6.1 - 128 Go - 12 Mpx - 12 Mpx - 5G - Gold,685 900 FCFA
Apple IPhone X - 4G LTE - 5.8 Pouces - 3Go Ram - 64Go Rom - 12 Mpx - Space Grey - Reconditionné,170 500 FCFA
"Apple iPhone 8 Plus - 5.5""- 4GLTE- 64Go ROM - 3Go RAM - 12Mpx - Reconditionné -  Noir",170 500 FCFA
"Apple IPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Noir",135 900 FCFA
"Apple IPhone XR- 6.1""- 12 Mpx- 64 Go- IOS 12- 4G- Blanc",185 900 FCFA
Apple IPhone 11 – 4G - 12 Mpx – 6.1’’- 4/64 Go - Vert,283 600 FCFA
"Apple IPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Rose Gold",135 900 FCFA
"Apple iPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Rouge",139 500 FCFA
"Apple iPhone 7 Plus - 5.5"" - 4G - 3/128Go - 12Mpx - Reconditionné - Silver",139 500 FCFA
"Apple iPhone 8 Plus - 4.7"" - 4G LTE - 64Go ROM - 2Go RAM - 12Mpx - Reconditionné - Rouge",170 500 FCFA
"Apple IPhone 7 Plus - 5.5"" - 4G - 3/256Go - 12Mpx - Reconditionné - Noir",139 500 FCFA
"Apple IPhone XR- 6.1""- 12 Mpx- 64 Go- IOS 12- 4G- Bleu",185 900 FCFA
"Apple iPhone 8 Plus-4.7""-4G LTE-64GoROM-2GoRAM- 12Mpx - Reconditionné - Silver",170 500 FCFA
"Apple IPhone 8 Plus-4.7""-4GLTE-64GoROM-2GoRAM-12Mpx-Reconditionné-Doré",170 500 FCFA
